danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.6170,0.9530,2.0000,-4.1620,1.0000,0.0693,0.1190,0.0000,0.3310,0.5940,154.9640,192200.0000,0
0.8930,0.4800,1.0000,-3.7280,0.0000,0.3560,0.0085,0.0000,0.1160,0.3820,86.9760,170638.0000,0
0.8160,0.7260,5.0000,-3.9980,0.0000,0.1290,0.0990,0.0000,0.3720,0.6500,136.0480,253390.0000,0
0.8070,0.4250,7.0000,-8.4520,1.0000,0.0656,0.0169,0.8910,0.0614,0.6600,125.9870,308929.0000,0
0.7130,0.3890,1.0000,-8.1570,1.0000,0.0839,0.1650,0.6370,0.0706,0.2170,178.0700,167497.0000,0
0.7680,0.5510,0.0000,-9.1330,1.0000,0.0727,0.4440,0.8120,0.1260,0.3980,90.0280,152000.0000,0
0.5450,0.8820,5.0000,-4.8640,1.0000,0.1190,0.0002,0.0368,0.3320,0.5950,122.2590,206200.0000,0
0.8990,0.4700,10.0000,-11.4510,0.0000,0.0903,0.0452,0.0000,0.0412,0.6460,96.0230,160000.0000,0
0.2940,0.4720,2.0000,-12.4360,1.0000,0.0369,0.4740,0.8020,0.1080,0.2800,135.4140,161293.0000,0
0.6410,0.7400,9.0000,-6.3470,1.0000,0.0496,0.0611,0.0000,0.5620,0.2580,130.0010,315000.0000,0
0.2110,0.9600,3.0000,-3.2210,0.0000,0.0733,0.0000,0.0106,0.2050,0.2480,159.4140,272920.0000,0
0.5300,0.7960,10.0000,-5.0890,0.0000,0.0389,0.0044,0.0003,0.1260,0.5360,166.0220,203883.0000,0
0.5050,0.5160,4.0000,-6.8070,0.0000,0.1830,0.2090,0.0000,0.2980,0.6400,91.9180,188205.0000,0
0.7320,0.5400,0.0000,-10.4150,1.0000,0.1250,0.0892,0.0000,0.0445,0.7990,165.4400,280293.0000,0
0.9050,0.9510,1.0000,-3.2680,1.0000,0.3190,0.0644,0.0000,0.1070,0.8380,124.0230,272773.0000,0
0.7110,0.7150,0.0000,-5.0490,1.0000,0.0725,0.6610,0.0000,0.1440,0.8110,173.9260,282485.0000,0
0.8170,0.7140,4.0000,-7.5010,0.0000,0.1410,0.1840,0.0001,0.0420,0.7140,94.0010,204600.0000,0
0.8200,0.6130,0.0000,-9.1520,1.0000,0.0606,0.0208,0.0001,0.3720,0.8160,117.6020,479440.0000,0
0.5040,0.7820,1.0000,-3.0060,1.0000,0.3420,0.0506,0.0000,0.0787,0.6600,170.6060,248893.0000,0
0.5010,0.7020,7.0000,-8.5430,1.0000,0.0671,0.0872,0.0010,0.0671,0.5800,139.0960,202200.0000,0
0.5840,0.4220,11.0000,-16.1890,1.0000,0.1160,0.2540,0.8970,0.3720,0.0374,182.5530,152400.0000,0
0.7580,0.6020,10.0000,-7.9090,0.0000,0.0940,0.0376,0.0000,0.1110,0.5190,155.0380,176056.0000,0
0.6720,0.5250,11.0000,-8.2530,0.0000,0.3980,0.1510,0.0000,0.2680,0.4330,132.6540,209342.0000,0
0.6720,0.8580,7.0000,-8.6850,1.0000,0.0429,0.0967,0.7540,0.0911,0.7880,124.9720,209240.0000,0
0.9220,0.4480,0.0000,-9.1970,0.0000,0.3090,0.2310,0.0000,0.2460,0.2330,130.0170,142053.0000,0
0.8860,0.5250,8.0000,-7.3900,1.0000,0.1310,0.2360,0.0000,0.0570,0.7080,145.9900,225205.0000,0
0.8760,0.7330,10.0000,-4.4780,0.0000,0.3330,0.0208,0.0000,0.0999,0.9620,154.9040,148630.0000,0
0.7110,0.8000,0.0000,-5.8520,1.0000,0.0303,0.0016,0.0513,0.3140,0.4300,124.0090,184253.0000,0
0.6770,0.7260,9.0000,-5.6170,1.0000,0.0408,0.1580,0.0000,0.3360,0.5420,102.0560,203245.0000,0
0.2040,0.8440,2.0000,-12.4090,1.0000,0.1090,0.0004,0.1650,0.1230,0.3050,183.7190,320933.0000,0
0.6810,0.9220,5.0000,-3.5920,1.0000,0.0779,0.1070,0.0017,0.0938,0.5660,156.0710,190912.0000,0
